Timestamp,Caller,Receiver,Duration,Type,Location,Cell_Tower_ID
2025-09-15 14:23:45,+919845123456,+919876543210,245,Outgoing,Bangalore,BLR_CT_089
2025-09-15 15:10:22,+919876543210,+918765432109,180,Outgoing,Hyderabad,HYD_CT_045
2025-09-15 16:45:30,+918765432109,+919845123456,320,Incoming,Chennai,CHN_CT_112
2025-09-15 18:20:15,+919845123456,+917654321098,95,Outgoing,Bangalore,BLR_CT_089
2025-09-15 19:05:40,+917654321098,+919876543210,420,Outgoing,Pune,PUN_CT_067
2025-09-16 08:30:00,+919876543210,+919845123456,155,Incoming,Hyderabad,HYD_CT_045
2025-09-16 10:15:30,+919845123456,+918800112233,78,Outgoing,Bangalore,BLR_CT_089
2025-09-16 11:45:20,+918800112233,+919876543210,540,Outgoing,Mumbai,MUM_CT_023
2025-09-16 14:20:10,+919876543210,+918765432109,290,Outgoing,Hyderabad,HYD_CT_045
2025-09-16 16:30:45,+918765432109,+917654321098,185,Incoming,Chennai,CHN_CT_112
2025-09-16 18:10:00,+917654321098,+919845123456,235,Outgoing,Pune,PUN_CT_067
2025-09-16 20:45:30,+919845123456,+919876543210,680,Outgoing,Bangalore,BLR_CT_089
2025-09-17 09:00:00,+919876543210,+918800112233,125,Outgoing,Hyderabad,HYD_CT_045
2025-09-17 12:30:15,+918800112233,+918765432109,340,Incoming,Mumbai,MUM_CT_023
2025-09-17 15:45:00,+918765432109,+919845123456,210,Outgoing,Chennai,CHN_CT_112
2025-09-17 18:20:30,+919845123456,+917654321098,165,Outgoing,Bangalore,BLR_CT_089
2025-09-17 21:00:00,+917654321098,+919876543210,780,Outgoing,Pune,PUN_CT_067
2025-09-18 07:30:00,+919876543210,+919845123456,95,Incoming,Hyderabad,HYD_CT_045
2025-09-18 10:45:20,+919845123456,+918765432109,410,Outgoing,Bangalore,BLR_CT_089
2025-09-18 14:15:30,+918765432109,+918800112233,285,Outgoing,Chennai,CHN_CT_112
