Timestamp,Caller,Receiver,Duration,Type,Location,Cell_Tower_ID
2025-09-20 22:15:30,+919988776655,+918877665544,145,Outgoing,Goa,GOA_CT_034
2025-09-20 23:45:00,+918877665544,+917766554433,210,Outgoing,Mumbai,MUM_CT_078
2025-09-21 01:30:15,+917766554433,+919988776655,95,Incoming,Delhi,DEL_CT_156
2025-09-21 08:00:00,+919988776655,+916655443322,180,Outgoing,Goa,GOA_CT_034
2025-09-21 10:30:45,+916655443322,+918877665544,340,Outgoing,Pune,PUN_CT_092
2025-09-21 14:15:00,+918877665544,+917766554433,420,Outgoing,Mumbai,MUM_CT_078
2025-09-21 18:45:30,+917766554433,+919988776655,185,Incoming,Delhi,DEL_CT_156
2025-09-21 21:00:00,+919988776655,+915544332211,520,Outgoing,Goa,GOA_CT_034
2025-09-22 02:30:15,+915544332211,+916655443322,78,Outgoing,Kolkata,KOL_CT_123
2025-09-22 09:00:00,+916655443322,+918877665544,245,Outgoing,Pune,PUN_CT_092
2025-09-22 12:45:30,+918877665544,+919988776655,360,Incoming,Mumbai,MUM_CT_078
2025-09-22 16:20:00,+919988776655,+917766554433,155,Outgoing,Goa,GOA_CT_034
2025-09-22 19:30:45,+917766554433,+915544332211,290,Outgoing,Delhi,DEL_CT_156
2025-09-22 22:15:00,+915544332211,+916655443322,625,Outgoing,Kolkata,KOL_CT_123
2025-09-23 03:00:30,+916655443322,+919988776655,135,Incoming,Pune,PUN_CT_092
2025-09-23 10:15:00,+919988776655,+918877665544,410,Outgoing,Goa,GOA_CT_034
2025-09-23 14:30:15,+918877665544,+917766554433,285,Outgoing,Mumbai,MUM_CT_078
2025-09-23 18:00:00,+917766554433,+919988776655,195,Incoming,Delhi,DEL_CT_156
2025-09-23 21:45:30,+919988776655,+915544332211,740,Outgoing,Goa,GOA_CT_034
2025-09-24 01:15:00,+915544332211,+918877665544,215,Outgoing,Kolkata,KOL_CT_123
