Timestamp,Caller,Receiver,Duration,Type,Location,Cell_Tower_ID
2025-09-25 03:15:00,+919123456789,+918234567890,420,Outgoing,Srinagar,SRI_CT_045
2025-09-25 04:30:00,+918234567890,+917345678901,185,Outgoing,Kashmir Border,KAS_CT_012
2025-09-25 05:45:00,+917345678901,+919123456789,290,Incoming,Jammu,JAM_CT_078
2025-09-25 18:00:00,+919123456789,+916456789012,540,Outgoing,Srinagar,SRI_CT_045
2025-09-25 19:30:00,+916456789012,+918234567890,325,Outgoing,Delhi,DEL_CT_189
2025-09-25 21:00:00,+918234567890,+917345678901,680,Outgoing,Kashmir Border,KAS_CT_012
2025-09-26 02:15:00,+917345678901,+919123456789,145,Incoming,Jammu,JAM_CT_078
2025-09-26 08:00:00,+919123456789,+915567890123,780,Outgoing,Srinagar,SRI_CT_045
2025-09-26 10:30:00,+915567890123,+916456789012,420,Outgoing,Mumbai,MUM_CT_156
2025-09-26 14:00:00,+916456789012,+918234567890,360,Outgoing,Delhi,DEL_CT_189
2025-09-26 17:30:00,+918234567890,+919123456789,520,Incoming,Kashmir Border,KAS_CT_012
2025-09-26 22:00:00,+919123456789,+917345678901,240,Outgoing,Srinagar,SRI_CT_045
2025-09-27 01:15:00,+917345678901,+916456789012,395,Outgoing,Jammu,JAM_CT_078
2025-09-27 06:30:00,+916456789012,+915567890123,625,Outgoing,Delhi,DEL_CT_189
2025-09-27 11:00:00,+915567890123,+919123456789,185,Incoming,Mumbai,MUM_CT_156
2025-09-27 15:45:00,+919123456789,+918234567890,840,Outgoing,Srinagar,SRI_CT_045
2025-09-27 20:00:00,+918234567890,+917345678901,295,Outgoing,Kashmir Border,KAS_CT_012
2025-09-27 23:30:00,+917345678901,+919123456789,465,Incoming,Jammu,JAM_CT_078
2025-09-28 04:00:00,+919123456789,+916456789012,720,Outgoing,Srinagar,SRI_CT_045
2025-09-28 08:45:00,+916456789012,+915567890123,380,Outgoing,Delhi,DEL_CT_189
